morpheme,type,mode,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
mangaanga,tv,dub,sp,4,p,1,s,mangaanga,i(ng),,mangaanga,a,,mangaanga,nas,,mangaanga,nas,,,?
mangaattigit,tv,dub,sp,1,p,2,s,mangaattigit,i(ng),,mangaattigit,a,,mangaattigit,nas,,mangaattigit,nas,,,?
mangaarmitit,tv,dub,sp,3,p,2,s,mangaarmitit,i(ng),,mangaarmitit,a,,mangaarmitit,nas,,mangaarmitit,nas,,,?
mangaatit,tv,dub,sp,4,p,2,s,mangaatit,i(ng),,mangaatit,a,,mangaatit,nas,,mangaatit,nas,,,?
mangaattigu,tv,dub,sp,1,p,3,s,mangaattigu,i(ng),,mangaattigu,a,,mangaattigu,nas,,mangaattigu,nas,,,?
mangaassiuk,tv,dub,sp,2,p,3,s,mangaassiuk,i(ng),,mangaassiuk,a,,mangaassiuk,nas,,mangaassiuk,nas,,,?
mangaarmijjuk,tv,dub,sp,3,p,3,s,mangaarmijjuk,i(ng),,mangaarmijjuk,a,,mangaarmijjuk,nas,,mangaarmijjuk,nas,,,?
mangaajjuk,tv,dub,sp,4,p,3,s,mangaajjuk,i(ng),,mangaajjuk,a,,mangaajjuk,nas,,mangaajjuk,nas,,,?
mangaattiguk,tv,dub,sp,2,p,1,d,mangaattiguk,i(ng),,mangaattiguk,a,,mangaattiguk,nas,,mangaattiguk,nas,,,?
mangaarmitiguk,tv,dub,sp,3,p,1,d,mangaarmitiguk,i(ng),,mangaarmitiguk,a,,mangaarmitiguk,nas,,mangaarmitiguk,nas,,,?
mangaatiguk,tv,dub,sp,4,p,1,d,mangaatiguk,i(ng),,mangaatiguk,a,,mangaatiguk,nas,,mangaatiguk,nas,,,?
mangaassik,tv,dub,sp,1,p,2,d,mangaassik,i(ng),,mangaassik,a,,mangaassik,nas,,mangaassik,nas,,,?
mangaarmitik,tv,dub,sp,3,p,2,d,mangaarmitik,i(ng),,mangaarmitik,a,,mangaarmitik,nas,,mangaarmitik,nas,,,?
mangaatik,tv,dub,sp,4,p,2,d,mangaatik,i(ng),,mangaatik,a,,mangaatik,nas,,mangaatik,nas,,,?
mangaattigik,tv,dub,sp,1,p,3,d,mangaattigik,i(ng),,mangaattigik,a,,mangaattigik,nas,,mangaattigik,nas,,,?
mangaassigik,tv,dub,sp,2,p,3,d,mangaassigik,i(ng),,mangaassigik,a,,mangaassigik,nas,,mangaassigik,nas,,,?
mangaarmigik,tv,dub,sp,3,p,3,d,mangaarmigik,i(ng),,mangaarmigik,a,,mangaarmigik,nas,,mangaarmigik,nas,,,?
mangaagik,tv,dub,sp,4,p,3,d,mangaagik,i(ng),,mangaagik,a,,mangaagik,nas,,mangaagik,nas,,,?
mangaattigut,tv,dub,sp,2,p,1,p,mangaattigut,i(ng),,mangaattigut,a,,mangaattigut,nas,,mangaattigut,nas,,,?
mangaarmitigut,tv,dub,sp,3,p,1,p,mangaarmitigut,i(ng),,mangaarmitigut,a,,mangaarmitigut,nas,,mangaarmitigut,nas,,,?
mangaatigut,tv,dub,sp,4,p,1,p,mangaatigut,i(ng),,mangaatigut,a,,mangaatigut,nas,,mangaatigut,nas,,,?
mangaassi,tv,dub,sp,1,p,2,p,mangaassi,i(ng),,mangaassi,a,,mangaassi,nas,,mangaassi,nas,,,?
mangaarmisi,tv,dub,sp,3,p,2,p,mangaarmisi,i(ng),,mangaarmisi,a,,mangaarmisi,nas,,mangaarmisi,nas,,,?
mangaasi,tv,dub,sp,4,p,2,p,mangaasi,i(ng),,mangaasi,a,,mangaasi,nas,,mangaasi,nas,,,?
mangaattigit,tv,dub,sp,1,p,3,p,mangaattigit,i(ng),,mangaattigit,a,,mangaattigit,nas,,mangaattigit,nas,,,?
mangaassigit,tv,dub,sp,2,p,3,p,mangaassigit,i(ng),,mangaassigit,a,,mangaassigit,nas,,mangaassigit,nas,,,?
mangaarmigit,tv,dub,sp,3,p,3,p,mangaarmigit,i(ng),,mangaarmigit,a,,mangaarmigit,nas,,mangaarmigit,nas,,,?
mangaagit,tv,dub,sp,4,p,3,p,mangaagit,i(ng),,mangaagit,a,,mangaagit,nas,,mangaagit,nas,,,?
