morpheme,type,mode,sameSubject,posneg,tense,dialect,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
natik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",nsp,3,d,,,natik,n,,natik,nas,,natik,nas,,natik ratik,nas fus,,,M1 H2
nata,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",nsp,1,p,,,nata,n,,nata,nas,,nata,nas,,nata rata,nas fus,,,M1 H2
nasi,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",nsp,2,p,,,nasi,n,,nasi,nas,,nasi,nas,,nasi rasi,nas fus,,,M1 H2
natik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",nsp,3,p,,,natik,n,,natik,nas,,natik,nas,,natik ratik,nas fus,,,M1 H2
tinnanga,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",nsp,1,s,,,tinnanga,n,,tinnanga tinnanga,s n,,tinnanga,n,,tinnanga,n,,,M1 H2
tinnak,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",nsp,2,s,,,tinnak tinnatit,n n,,tinnak tinnatit tinnak tinnatit,s n s n,,tinnak tinnatit,n n,,tinnak tinnatit,n n,,,M1 H2
tinnagu,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",nsp,3,s,,,tinnagu,n,,tinnagu tinnagu,s n,,tinnagu,n,,tinnagu,n,,,M1 H2
tinnanuk,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",nsp,1,d,,,tinnanuk,n,,tinnanuk tinnanuk,s n,,tinnanuk,n,,tinnanuk,n,,,M1 H2
tinnasik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",nsp,2,d,,,tinnasik tinnatik,n n,,tinnasik tinnatik tinnasik tinnatik,s n s n,,tinnasik tinnatik,n n,,tinnasik tinnatik,n n,,,M1 H2
tinnagik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",nsp,3,d,,,tinnagik,n,,tinnagik tinnagik,s n,,tinnagik,n,,tinnagik,n,,,M1 H2
tinnata,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",nsp,1,p,,,tinnata,n,,tinnata tinnata,s n,,tinnata,n,,tinnata,n,,,M1 H2
tinnasi,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",nsp,2,p,,,tinnasi,n,,tinnasi tinnasi,s n,,tinnasi,n,,tinnasi,n,,,M1 H2
tinnagit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",nsp,3,p,,,tinnagit,n,,tinnagit tinnagit,s n,,tinnagit,n,,tinnagit,n,,,M1 H2
lunga,tv,part,oui,pos,prespas,Cumberland Peninsula,nsp,1,s,,,lunga,i(l),,tunga,n,,tunga,n,,tunga,n,,,H2
lutit,tv,part,oui,pos,prespas,Cumberland Peninsula,nsp,2,s,,,lutit,i(l),,tutit,n,,tutit,n,,tutit,n,,,H2
luni,tv,part,oui,pos,prespas,Cumberland Peninsula,nsp,3,s,,,luni,i(l),,tuni,n,,tuni,n,,tuni,n,,,H2
lunuk,tv,part,oui,pos,prespas,Cumberland Peninsula,nsp,1,d,,,lunuk,i(l),,tunuk,n,,tunuk,n,,tunuk,n,,,H2
lusik,tv,part,oui,pos,prespas,Cumberland Peninsula,nsp,2,d,,,lusik,i(l),,tusik,n,,tusik,n,,tusik,n,,,H2
lutik,tv,part,oui,pos,prespas,Cumberland Peninsula,nsp,3,d,,,lutik,i(l),,tutik,n,,tutik,n,,tutik,n,,,H2
luta,tv,part,oui,pos,prespas,Cumberland Peninsula,nsp,1,p,,,luta,i(l),,tuta,n,,tuta,n,,tuta,n,,,H2
lusi,tv,part,oui,pos,prespas,Cumberland Peninsula,nsp,2,p,,,lusi,i(l),,tusi,n,,tusi,n,,tusi,n,,,H2
lutik,tv,part,oui,pos,prespas,Cumberland Peninsula,nsp,3,p,,,lutik,i(l),,tutik,n,,tutik,n,,tutik,n,,,H2
lunga,tv,part,oui,pos,prespas,North Baffin,sp,2,s,1,s,lunga,i(l),,&unga &unga,a n,,&unga,n,,&unga,n,,,?
luninga,tv,part,oui,pos,prespas,North Baffin,sp,3,s,1,s,luninga,i(l),,&uninga &uninga,a n,,&uninga,n,,&uninga,n,,,?
lunga,tv,part,oui,pos,prespas,North Baffin,sp,4,s,1,s,lunga,i(l),,&unga &unga,a n,,&unga,n,,&unga,n,,,?
lutit,tv,part,oui,pos,prespas,North Baffin,sp,1,s,2,s,lutit,i(l),,&utit &utit,a n,,&utit,n,,&utit,n,,,?
lunitit,tv,part,oui,pos,prespas,North Baffin,sp,3,s,2,s,lunitit,i(l),,&unitit &unitit,a n,,&unitit,n,,&unitit,n,,,?
lutit,tv,part,oui,pos,prespas,North Baffin,sp,4,s,2,s,lutit,i(l),,&utit &utit,a n,,&utit,n,,&utit,n,,,?
