morpheme,nb,type,function,position,transitivity,nature,plural,antipassive,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,engMean,freMean,condPrec,condPrecTrans,condOnNext,sources,combination,dialect,mobility
tu,1,sn,nv,m,i,t,,,tu tuu,n n,,tu tuu,s s,,tu tuu,s s,,tu tuu,s s,,"largeness, to have a large ...; to have a lot of ...","avoir un grand, de grands...; avoir beaucoup de ...",,,,H1 A1,,,m
tu,1,sv,vv,m,n,,,,tu,n,,tu,s,,tu,s,,tu,s,,profoundly; very much; very often,profond�ment; beaucoup; tr�s souvent,,,,S1,,,m
tuaq,2,sn,nn,t,,,,,tuaq,n,,tu,s,,tu,s,,tu,s,,exclusiveness: 'only one'; 'only',exclusivit�: 'seulement un'; 'seul',,,,H1 A1,,,m
tuaq,1,sv,vv,m,n,,,,tuaq,n,,tuaq,s,,tuaq,s,,tuaq,s,,immediacy of action: 'as soon as...'; exclusiveness of action: 'if only ...',action imm�diate: 'aussit�t que ...'; exclusivit� de l'action: 'si seulement...',,,mode:caus mode:cond,H1 A1,,,m
tuinnaq,2,sn,nn,t,,,,,tuinnaq,n,,tuinnaq,s,,tuinnaq,s,,tuinnaq,s,,"ordinaryness, lack of special qualities; 'only', 'just', 'merely'","ordinaire, sans qualit� sp�ciale; 'seulement', 'simplement'",,,,H1,,,m
tuinnaq,1,sv,vv,m,n,,,,tuinnaq,n,,tuinnaq,s,,tuinnaq,s,,tuinnaq,s,,merely; does nothing more than; simply; solely; only; sometimes 'always',simplement; seulement; ne fait rien d'autre que; quelquefois 'toujours',,,,H1,,,m
tuinnariaqaq,1,sv,vv,m,n,,,,tuinnariaqaq,n,,tuinnariaqaq,s,,tuinnariaqaq,s,,tuinnariaqaq,s,,only action remaining to be done: 'to have nothing more to do but...',seule action qui reste: 'n'avoir rien d'autre � faire que...',,,,H1,tuinnaq/1vv+jariaq/1vn+qaq/1nv,,m
tuinnau,1,sv,vv,m,n,,,,tuinnau,n,,tuinnau,n,,tuinnau,n,,tuinnau,n,,action done by all,l'action est accomplie par tous,,,,S1,,,m
tukaq,1,sn,nn,t,,,,,tukaq,n,,tukaq,i(i),,tukaq,s,,tukaq,s,,old,vieux,,,,H1,,,m
tuq,1,sn,nv,m,i,t,,,tuq,n,,tuq,n,,tuq,n,,tuq,n,,to use an object in the manner in which it was intended to be used; food: 'to consume',utiliser un objet de la fa�on dont il a �t� pr�vu ou de la fa�on le plus normale; aliments: 'consommer',,,,H1,,,m
tuq,1,sv,vv,m,t,,,i/1vv,tuq,n,,tuq,s,,tuq,n,,tuq,n,,prolonged action: 'for a long time',action prolong�e: 'pendant longtemps',,,,A1,,,m
tuqaq,1,sn,nn,t,,,,,tuqaq,n,,tuqaq,i(i),,tuqaq tuqaq,n s,,tuqaq tuqaq,n s,,"old, acquired long time ago","vieux, acquis il y a longtemps",,,,A1,,,m
tuuq,1,sn,nn,t,,,,,tuuq,n,,tuuq,n,,tuuq,n,,tuuq,n,,attached to animal names to mean 'a place abounding in...',attach� � des noms d'animaux pour signifier 'un endroit abondant en...',,,,H1,,,m
tuuq,2,sn,nv,f,,,,,tuuq,n,,tuuq,s,,tuuq,s,,tuuq,s,,longing: 'I wish I ...','Que j'aimerais donc...',,,,H1,,,m
u,1,sn,nv,m,n,,,,u,n,i(ng),u u,s i(i),i(ng) -,u,s,i(ng),u,s,i(ng),existence; is,existence; est,,,,H1,,,m
ujjaq,1,sv,vn,t,,,,,ujjaq,i(jj),,ujjaq,si(jj),,ujjaq,son,,ujjaq ujjaq,son s,- -,"s.o. for, to, with whom the action is done; s.t. transported, fetched, brought; s.t. caught, trapped","qqch. pour, �, avec laquelle une action est faite; qqch. qui est apport�, transport�, qu'on est all� chercher; qqch. qui est attrap�, pris",,,,A1,,,m
ujji,1,sv,vv,m,i,,,,ujji,i(jj),,ujji,si(jj),,ujji,son,,ujji ujji,son s,- -,"to do the action for, to, with him/her/it; with words of movement: to bring, fetch, transport s.t.","faire l'action pour, à, avec qqn; avec mots de movement: apporter, aller chercher, transporter qqch.",,,,A1,uti/1vv+ji/1vv,,m
ujjuaq,1,sv,vv,m,i,,,,ujjuaq,n,,ujjuaq,s,?,ujjuaq,s,?,ujjuaq,s,?,competition in the action of the verb,comp�tition dans l'action du verbe,,,number:d number:p,A1,,,m
uq,2,sn,nv,m,i,,,,-,-,,uq,s,,-,-,,-,-,,"to imitate, to do like","imiter, faire comme",cas:sim,,,,,,m
uq,1,sn,nv,m,i,,,,-,-,,uq,s,,-,-,,-,-,,to go through,"aller, passer � travers",cas:via,,,S1,,,m
uq,3,sv,vv,m,t,,,ri/1vv,uq,n,,uq,s,,uq,s,,uq,s,,frequentative: many subjects; many objects,fr�quentatif: plusieurs sujets; plusieurs objets,,,,,,,m
uqqaq,1,sv,vv,m,t,,,i/1vv,uqqaq,n,decap,uqqaq,i(i),,uqqaq,s,decap,uqqaq,s,decap,"to do an action upon something repeatedly: ""one after another""","faire une action de mani�re r�p�t�e sur quelque chose: ""l'un apr�s l'autre""",,,,,,,m
usiq,1,sv,vn,t,,,,,usiq usiq,n i(jj),i(jj) -,usiq usiq,s si(jj),i(jj) -,usiq usiq,s si(jj),i(jj) -,usiq usiq qusiq,s son n,i(jj) - -,custom; way; habit; usual way of doing s.t.,coutume; fa�on; habitude; mani�re usuelle de faire qqchose,,,,H1 A1,,,m
ut,2,sn,nn,t,,,,,ut uti,n n,,ut uti,s s,,ut uti,s s,,ut uti,s s,,"bag, container for; s.t. which has...","sac, contenant pour; qqch. qui contient...",,,,H1,,,m
ut,1,sv,vn,t,,,,,ut uti utik utaq gut guti gutik gutaq ut uti utik utaq,n n n n n n n n i(jj) i(jj) i(jj) i(jj),i(jj) i(jj) i(jj) i(jj) - - - - - - - -,ut uti utik utaq guti,s s s s s,i(jj) i(jj) i(jj) i(jj) -,ut uti utik utaq guti,s s s s s,i(jj) i(jj) i(jj) i(jj) -,rut ruti rutik rutaq ut uti utik utaq qut quti qutik qutaq,s s s s s s s s n n n n,- - - - s(a) s(a) s(a) s(a) - - - -,"object, instrument, tool for doing s.t.; time of an action","objet, instrument, outil pour faire qqch.; temps d'une action",type:v function:nv function:vv,,,,,,m
uti,3,sn,nn,t,,,,,-,-,,-,-,,-,-,,uti,s,,indefinite pronoun 'one',pronom ind�fini 'quelqu'un',id:juq/1vn,,,H1,,,m
uti,1,sv,vv,m,t,,,ji/1vv,uti,i(jj),,uti,si(jj),,uti,son,,uti uti,son s,,"[T]to do the action for, to, with him/her/it; with words of movement: to bring, fetch, transport s.t.[R]to do the action for, to, with himself/herself/itself","[T]faire l'action pour, à, avec qqn; avec mots de movement: apporter, aller chercher, transporter qqch.[R]faire l'action pour, à, avec soi-même",,,,A1,,,m
vaalliq,1,sv,vv,m,n,,,,vaalliq,n,,paalliq,n,,paalliq,n,,paalliq,n,,to do something that one didn't do before,faire quelque chose qu'on ne faisait pas auparavant,,,,H1,,,m
vagiq,1,sv,vv,m,n,,,,vagiq vagiiq,n n,,pagiq pagiiq,n n,,pagiq pagiiq,n n,,pagiq pagiiq,n n,,to have already done something,avoir d�j� accompli une action,,,,H1,,,m
vak,1,sv,vv,m,n,,,,vak,n,,pak,n,,pak,n,,pak,n,,common action: 'often',action commune: 'souvent',,,,H1,,,m
valatsi,1,sv,vv,m,i,,,,valatsi,n,,palatsi,n,,palatsi,n,,palatsi,n,,to sound like,ressembler par le son �; avoir le m�me son que,,,,H1,,,m
vallai,1,sv,vv,m,n,,,,vallai,n,,pallai,n,,pallai,n,,pallai,n,,probably,probablement,,,,H1,,,m
vallia,1,sv,vv,m,n,,,,vallia,n,,pallia,n,,pallia,n,,pallia,n,,progression; 'gradually',progression; 'graduellement',,,,H1,,,m
vaq,1,sn,nv,m,t,,,i/1vv,vaq,n,,paq,n,,paq,n,,paq,n,,"to go towards a location (used with traditional locations: side, back, front, ...)","aller vers un endroit (utilis� avec les endroits traditionnels: c�t�, devant, derri�re, ...)",,,,A1,,,m
vasaaq,1,sv,vv,m,n,,,,vasaaq,n,,pasaaq,n,,pasaaq,n,,pasaaq,n,,to do what one never did before,faire ce qu'on n'a jamais fait auparavant,,,,A1,,,m
vasik,1,sn,nv,m,i,,,,vasik,n,,pasik,n,,pasik,n,,pasik,n,,"to be too close of a location (used with traditional locations: side, back, front, ...)","�tre trop pr�s d'un endroit (utilis� avec les endroits traditionnels: c�t�, devant, derri�re, ...)",,,,A1,,,m
vigjuaraaluk,1,sv,vn,t,,,,,vigjuaraaluk,n,,vigjuaraaluk,s,,vigjuaraaluk,s,,vigjuaraaluk,s,,"extreme: 'very, very' (when the suffix is in final position, the word can be interpreted as a verb in the 3rd person)","extr�me: 'tr�s, tr�s' (lorsque le suffixe est en position finale, le mot peut �tre interpr�t� comme un verbe � la 3�me personne)",,,,H1,,,m
vik,1,sn,nn,t,,,,,vik,n,,vik,s,,vik,s,,vik,s,,enormous; most impressive,�norme; tr�s impressionnant,,,,H1,,,m
vik,3,sv,vn,t,,,,,vik vik,i(p) n,,vik,a,,vik,son,,vik,son,,place where the action of the verb takes place,endroit o� se passe l'action du verbe,,,,H1,,,m
vik,2,sv,vv,m,n,,,,vik,n,,vik,s,,vik,s,,vik,s,,finality: 'for good'; 'forever',finalit�: 'pour de bon'; 'pour toujours',,,,H1,,,m
viniq,1,sn,nn,t,,,,,viniq,n,,viniq,s,,viniq,s,,viniq,s,,denotes a former state; unperceived past following gerundive ending,d�note un �tat ant�rieur; pass� non per�u lorsqu'il suit une terminaison g�rondive,,,,H1,,,m
vvaluk,1,sn,nv,m,i,,,,vvaluk,n,,vvaluk,s,,vvaluk,s,,vvaluk,s,,to sound like,ressembler par le son �; avoir le m�me son que,,,,H1,,,m
