Mot original (fréquence Google du mot en syllabique),Mot original en syllabique,Traduction,"Reformulations 
trouvées","Meilleures 
Reformulations","Syllabique des refromulations
avec #hits Google","Traduction
des meilleures
Reformulations",Notes
pijittirautinginnik (63),ᐱᔨᑦᑎᕋᐅᑎᖏᓐᓂᒃ,services,1,"pijittirauti;
pijittiraut;
pijittirautiit","ᐱᔨᑦᑎᕋᐅᑎ (15);
ᐱᔨᑦᑎᕋᐅᑦ (5);
ᐱᔨᑦᑎᕋᐅᑏᑦ (222)","service;
service;
services",object (-nginnik)
ilinniarusiaqtaatittilaarngata (2),ᐃᓕᓐᓂᐊᕈᓯᐊᖅᑖᑎᑦᑎᓛᕐᖓᑕ,because they will be awarding scholarships,1,"ilinniarusiaq;
ilinniarusiat","ᐃᓕᓐᓂᐊᕈᓯᐊᖅ (27);
(0)","scholarship;
",
ujararniarvinu (1),ᐅᔭᕋᕐᓂᐊᕐᕕᓄ,for the mine,1,ujararniarvik,ᐅᔭᕋᕐᓂᐊᕐᕕᒃ (10),,-nu = -nut
nalliukkumaanik (1590),ᓇᓪᓕᐅᒃᑯᒫᓂᒃ,insurance/compensation,1,"nalliukkumaaq;
nalliukkumaat","ᓇᓪᓕᐅᒃᑯᒫᖅ (7);
ᓇᓪᓕᐅᒃᑯᒫᑦ (2410)",insurance/warranty,-nik
uvattinnut (24600),ᐅᕙᑦᑎᓐᓄᑦ,us/to us,0,,,,
ulurianaqtuliit (9),ᐅᓗᕆᐊᓇᖅᑐᓖᑦ,dangerous/risky,1,"ulurianaqtulik;
ulurianaqtuq;
ulurianaqtut","ᐅᓗᕆᐊᓇᖅᑐᓕᒃ (0);
ᐅᓗᕆᐊᓇᖅᑐᖅ (86);
ᐅᓗᕆᐊᓇᖅᑐᑦ (422)",";
it is dangerous/risk;
dangerous",
tuttarvilingmik (2),ᑐᑦᑕᕐᕕᓕᖕᒥᒃ,with its headquarters/based,1,"tuttarvilik;
tuttarvik","ᑐᑦᑕᕐᕕᓕᒃ (0);
ᑐᑦᑕᕐᕕᒃ (4340)",";
headquarter",object (-mik)
ilaliutisimatuinnalirtuni (2),ᐃᓚᓕᐅᑎᓯᒪᑐᐃᓐᓇᓕᕐᑐᓂ,is now part,0,,,,"(part. verb ending -tuni, 3ps)"
piqasiujjauluni///sanajauninginnut,,"is imparted/taken into/along with
works/construction",0,,,,"error : missing space between words  piqasiujjauluni and sanajauninginnut
(none can be found in Google)"
atuinnaujumi (39),ᐊᑐᐃᓐᓇᐅᔪᒥ,available,1,"atuinnaujuq;
atuinnaujut;
atuinnaq","ᐊᑐᐃᓐᓇᐅᔪᖅ (909);
ᐊᑐᐃᓐᓇᐅᔪᑦ (3480);
ᐊᑐᐃᓐᓇᖅ (64)",,(object -mi(k))?
pujurninganut (1),ᐳᔪᕐᓂᖓᓄᑦ,vapor pressure/dustfall,1,"pujurniq;
pujuqtuq","ᐳᔪᕐᓂᖅ (0);
ᐳᔪᖅᑐᖅ (0)",,-nganut
qaujisarnirmut (7320),ᖃᐅᔨᓴᕐᓂᕐᒧᑦ,survey/forecast/evaluation,1,qaujisarniq,ᖃᐅᔨᓴᕐᓂᖅ (13200),,(to : -mut)
uqausiqarniq (818),ᐅᖃᐅᓯᖃᕐᓂᖅ,discussion/tabling (of),1,,,,
nunaqaqqaasimajut (1630),ᓄᓇᖃᖅᑳᓯᒪᔪᑦ,aboriginal/first nations,0,,,,those who first had the land
attanaqtunik (309),ᐊᑦᑕᓇᖅᑐᓂᒃ,serious/dangerous/unsafe,1,"attanaqtuq;
attanaqtut","ᐊᑦᑕᓇᖅᑐᖅ (104);
ᐊᑦᑕᓇᖅᑐᑦ (75)",danger,-nik
uqausiksaqapiit (2),ᐅᖃᐅᓯᒃᓴᖃᐲᑦ,do you have opinions,1,"uqausiksaq;
uqausiksait","ᐅᖃᐅᓯᒃᓴᖅ (51);
ᐅᖃᐅᓯᒃᓴᐃᑦ (1220)",,uqusiksaq–qaq–piit
katimajinginnut (173),ᑲᑎᒪᔨᖏᓐᓄᑦ,to the members,1,"katimaji;
katimajiit","ᑲᑎᒪᔨ (588);
ᑲᑎᒪᔩᑦ (25500)",,-nginnut
isumaksaqsiurunnaqullugillu (1),ᐃᓱᒪᒃᓴᖅᓯᐅᕈᓐᓇᖁᓪᓗᒋᓪᓗ,and challenging them to think about,0,,,,so that they can search for ideas (=think)
kiggaqtuq&ugit (57),ᑭᒡᒐᖅᑐᖅᖢᒋᑦ,on behalf of (representing),0,,,,"kiggaq : to convey a message for him
+antipassive
tuq : long duration"
iliqqusiliriniq (1050),ᐃᓕᖅᑯᓯᓕᕆᓂᖅ,culture,0,,,,
iqqanaijarvinut (8),ᐃᖅᑲᓇᐃᔭᕐᕕᓄᑦ,employer/hiring/workplace,1,"iqqanaijarvik;
iqqanaijarviit","ᐃᖅᑲᓇᐃᔭᕐᕕᒃ (100);
ᐃᖅᑲᓇᐃᔭᕐᕖᑦ (124)",,-vik -nut(dative)
nunamiutait (317),ᓄᓇᒥᐅᑕᐃᑦ,natural resources/terrestrial mamals,1,"nunamiutaq;
nunamiut","ᓄᓇᒥᐅᑕᖅ (9);
ᓄᓇᒥᐅᑦ (92)",,nunamiut : name of a lodge
iktajaralik (3),ᐃᒃᑕᔭᕋᓕᒃ,Cape Dyer,1,"iktajaralingmi;
iktajaralimmi","ᐃᒃᑕᔭᕋᓕᖕᒥ (2);
ᐃᒃᑕᔭᕋᓕᒻᒥ (107)",,nom de ville : -mi (dans) très probable
attarnaqtumi (3),ᐊᑦᑕᕐᓇᖅᑐᒥ,risk/harm,1,"attarnaqtuq;
attarnaqtut","ᐊᑦᑕᕐᓇᖅᑐᖅ (38);
ᐊᑦᑕᕐᓇᖅᑐᑦ (55)",danger,-mi
ikajuutiksanik (345),ᐃᑲᔫᑎᒃᓴᓂᒃ,assistance,1,"ikajuutiksaq;
ikajuutiksait","ᐃᑲᔫᑎᒃᓴᖅ (74);
ᐃᑲᔫᑎᒃᓴᐃᑦ (505)",tool; assistance; program,-nik
tusaqtitsijjutiit (7),ᑐᓴᖅᑎᑦᓯᔾᔪᑏᑦ,announcements,1,"tusaqtitsijjut;
tusaqtittijjut;
tusaqtittijjuti;
tusaqtittijjutiit","ᑐᓴᖅᑎᑦᓯᔾᔪᑦ (1);
ᑐᓴᖅᑎᑦᑎᔾᔪᑦ (2);
ᑐᓴᖅᑎᑦᑎᔾᔪᑎ (220);
ᑐᓴᖅᑎᑦᑎᔾᔪᑏᑦ (26)",,
umiarjuarmut (29),ᐅᒥᐊᕐᔪᐊᕐᒧᑦ,barge,1,"umiarjuaq;
umiarjuat","ᐅᒥᐊᕐᔪᐊᖅ (767);
ᐅᒥᐊᕐᔪᐊᑦ (371)",,-mut
tusagaksalirijikkunnit (4),ᑐᓴᒐᒃᓴᓕᕆᔨᒃᑯᓐᓂᑦ,media,1,tusagaksalirijikkut,ᑐᓴᒐᒃᓴᓕᕆᔨᒃᑯᑦ (139),,-nit
tusaqtitsigiatsaq (769),ᑐᓴᖅᑎᑦᓯᒋᐊᑦᓴᖅ,announcements,1,tusaqtitsijut,ᑐᓴᖅᑎᑦᓯᔪᑦ (206),they announce,-giatsaq=-jariaksaq : gives a gerundive meaning to the verb stem
attanajjaiqsisimanirmik (3),ᐊᑦᑕᓇᔾᔭᐃᖅᓯᓯᒪᓂᕐᒥᒃ,prevention/safety training,1,"attanajjaiqsisimaniq;
attanaiqsiniq","ᐊᑦᑕᓇᔾᔭᐃᖅᓯᓯᒪᓂᖅ (3);
ᐊᑦᑕᓇᐃᖅᓯᓂᖅ(1)",";
security",-mik
sanajauvallialiqtillugu (4),ᓴᓇᔭᐅᕙᓪᓕᐊᓕᖅᑎᓪᓗᒍ,while it is being worked on/under development/contruction process,1,"sanajauvallianiq;
sanajauvalliajuq","ᓴᓇᔭᐅᕙᓪᓕᐊᓂᖅ (3);
ᓴᓇᔭᐅᕙᓪᓕᐊᔪᖅ (10)","phase de construction;
development project/is being developed/builds on/under construction (website)/",-tillugu
uqsualummuuqtumu (1),ᐅᖅᓱᐊᓗᒻᒨᖅᑐᒧ,that runs with diesel,1,"uqsualummuuqtuq;
uqsualungmuuqtuq;
uqsualummut","ᐅᖅᓱᐊᓗᒻᒨᖅᑐᖅ (0);
ᐅᖅᓱᐊᓗᖕᒨᖅᑐᖅ (1);
ᐅᖅᓱᐊᓗᒻᒧᑦ (150)",";
;
for fuel/for petroleum/","-mu (= -mut)
mut uq : to move with (means)"
pijunnautinginnik (824),ᐱᔪᓐᓇᐅᑎᖏᓐᓂᒃ,(their) rights,1,"pijunnaut;
pijunnauti;
pijunnautiit","ᐱᔪᓐᓇᐅᑦ (24);
ᐱᔪᓐᓇᐅᑎ (165);
ᐱᔪᓐᓇᐅᑏᑦ (2000)",";
;
permits/right",-nginnik
piviqaqtittisuunguvuq (3),ᐱᕕᖃᖅᑎᑦᑎᓲᖑᕗᖅ,it allows/provides,1,"piviqaqtittisuuq;
piviqaqtittijuq;
piviqaqtitsijuq","ᐱᕕᖃᖅᑎᑦᑎᓲᖅ (4);
ᐱᕕᖃᖅᑎᑦᑎᔪᖅ (9);
ᐱᕕᖃᖅᑎᑦᓯᔪᖅ (7)",it allows/provides,other surface forms didn't return anything valuable (titti/titsi; juq/jut/vuq/vut)
pijitsirautikkut (6),ᐱᔨᑦᓯᕋᐅᑎᒃᑯᑦ,service delivery/services,1,"pijittirauti;
pijittiraut;
pijittirautiit","ᐱᔨᑦᑎᕋᐅᑎ (15);
ᐱᔨᑦᑎᕋᐅᑦ (5);
ᐱᔨᑦᑎᕋᐅᑏᑦ (222)","service;
service;
services",
qaujimajautsiaqtuq (19),ᖃᐅᔨᒪᔭᐅᑦᓯᐊᖅᑐᖅ,he is famous/well know/popular,1,"qaujimajautsiarniq;
qaujimajautsiaqtut","ᖃᐅᔨᒪᔭᐅᑦᓯᐊᕐᓂᖅ (0);
ᖃᐅᔨᒪᔭᐅᑦᓯᐊᖅᑐᑦ (59)",";
well-known",
